customerNumber,contactFirstName,contactLastName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,Rating_of_experience
103,Carine ,Schmitt,40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,1370,21000,5
112,Jean,King,7025551838,8489 Strong St.,NULL,Las Vegas,NV,83030,USA,1166,71800,4
114,Peter,Ferguson,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,1611,117300,2
119,Janine ,Labrune,40.67.8555,"67, rue des Cinquante Otages",NULL,Nantes,NULL,44000,France,1370,118200,4
121,Jonas ,Bergulfsen,07-98 9555,Erling Skakkes gate 78,NULL,Stavern,NULL,4110,Norway,1504,81700,1
124,Susan,Nelson,4155551450,5677 Strong St.,NULL,San Rafael,CA,97562,USA,1165,210500,5
125,Zbyszek ,Piestrzeniewicz,(26) 642-7555,ul. Filtrowa 68,NULL,Warszawa,NULL,01-012,Poland,NULL,0,3
128,Roland,Keitel,+49 69 66 90 2555,Lyonerstr. 34,NULL,Frankfurt,NULL,60528,Germany,1504,59700,4
129,Julie,Murphy,6505555787,5557 North Pendale Street,NULL,San Francisco,CA,94217,USA,1165,64600,5
131,Kwai,Lee,2125557818,897 Long Airport Avenue,NULL,NYC,NY,10022,USA,1323,114900,3
141,Diego ,Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",NULL,Madrid,NULL,28034,Spain,1370,227600,4
144,Christina ,Berglund,0921-12 3555,Berguvsvägen  8,NULL,Luleå,NULL,S-958 22,Sweden,1504,53100,5
145,Jytte ,Petersen,31 12 3555,Vinbæltet 34,NULL,Kobenhavn,NULL,1734,Denmark,1401,83400,2
146,Mary ,Saveley,78.32.5555,"2, rue du Commerce",NULL,Lyon,NULL,69004,France,1337,123900,1
148,Eric,Natividad,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,NULL,79903,Singapore,1621,103800,4
151,Jeff,Young,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,1286,138500,5
157,Kelvin,Leong,2155551555,7586 Pompton St.,NULL,Allentown,PA,70267,USA,1216,100600,2
